bin_start,bin_end,count,density
-30.000000,-29.700000,0,0.000000
-29.700000,-29.400000,0,0.000000
-29.400000,-29.100000,0,0.000000
-29.100000,-28.800000,0,0.000000
-28.800000,-28.500000,0,0.000000
-28.500000,-28.200000,0,0.000000
-28.200000,-27.900000,0,0.000000
-27.900000,-27.600000,2,0.000001
-27.600000,-27.300000,1,0.000000
-27.300000,-27.000000,0,0.000000
-27.000000,-26.700000,3,0.000001
-26.700000,-26.400000,3,0.000001
-26.400000,-26.100000,1,0.000000
-26.100000,-25.800000,2,0.000001
-25.800000,-25.500000,6,0.000002
-25.500000,-25.200000,5,0.000002
-25.200000,-24.900000,4,0.000001
-24.900000,-24.600000,7,0.000002
-24.600000,-24.300000,2,0.000001
-24.300000,-24.000000,5,0.000002
-24.000000,-23.700000,9,0.000003
-23.700000,-23.400000,5,0.000002
-23.400000,-23.100000,3,0.000001
-23.100000,-22.800000,1,0.000000
-22.800000,-22.500000,4,0.000001
-22.500000,-22.200000,3,0.000001
-22.200000,-21.900000,2,0.000001
-21.900000,-21.600000,2,0.000001
-21.600000,-21.300000,3,0.000001
-21.300000,-21.000000,4,0.000001
-21.000000,-20.700000,7,0.000002
-20.700000,-20.400000,2,0.000001
-20.400000,-20.100000,18,0.000006
-20.100000,-19.800000,3,0.000001
-19.800000,-19.500000,10,0.000003
-19.500000,-19.200000,12,0.000004
-19.200000,-18.900000,16,0.000005
-18.900000,-18.600000,18,0.000006
-18.600000,-18.300000,18,0.000006
-18.300000,-18.000000,19,0.000006
-18.000000,-17.700000,54,0.000017
-17.700000,-17.400000,40,0.000013
-17.400000,-17.100000,68,0.000022
-17.100000,-16.800000,53,0.000017
-16.800000,-16.500000,60,0.000019
-16.500000,-16.200000,93,0.000030
-16.200000,-15.900000,63,0.000020
-15.900000,-15.600000,98,0.000031
-15.600000,-15.300000,107,0.000034
-15.300000,-15.000000,74,0.000024
-15.000000,-14.700000,108,0.000035
-14.700000,-14.400000,133,0.000043
-14.400000,-14.100000,150,0.000048
-14.100000,-13.800000,160,0.000051
-13.800000,-13.500000,120,0.000038
-13.500000,-13.200000,227,0.000073
-13.200000,-12.900000,238,0.000076
-12.900000,-12.600000,303,0.000097
-12.600000,-12.300000,355,0.000114
-12.300000,-12.000000,312,0.000100
-12.000000,-11.700000,572,0.000183
-11.700000,-11.400000,602,0.000193
-11.400000,-11.100000,765,0.000245
-11.100000,-10.800000,870,0.000279
-10.800000,-10.500000,844,0.000271
-10.500000,-10.200000,1230,0.000394
-10.200000,-9.900000,1429,0.000458
-9.900000,-9.600000,1858,0.000596
-9.600000,-9.300000,2098,0.000673
-9.300000,-9.000000,2028,0.000650
-9.000000,-8.700000,3043,0.000976
-8.700000,-8.400000,3577,0.001147
-8.400000,-8.100000,4396,0.001409
-8.100000,-7.800000,4792,0.001536
-7.800000,-7.500000,5483,0.001758
-7.500000,-7.200000,7428,0.002382
-7.200000,-6.900000,8473,0.002717
-6.900000,-6.600000,9659,0.003097
-6.600000,-6.300000,11940,0.003828
-6.300000,-6.000000,13146,0.004215
-6.000000,-5.700000,17223,0.005522
-5.700000,-5.400000,20354,0.006526
-5.400000,-5.100000,22416,0.007187
-5.100000,-4.800000,28057,0.008996
-4.800000,-4.500000,31277,0.010028
-4.500000,-4.200000,40964,0.013134
-4.200000,-3.900000,48117,0.015427
-3.900000,-3.600000,55957,0.017941
-3.600000,-3.300000,67564,0.021662
-3.300000,-3.000000,82077,0.026316
-3.000000,-2.700000,105133,0.033708
-2.700000,-2.400000,118859,0.038109
-2.400000,-2.100000,151801,0.048670
-2.100000,-1.800000,189856,0.060872
-1.800000,-1.500000,226766,0.072706
-1.500000,-1.200000,305453,0.097934
-1.200000,-0.900000,390002,0.125042
-0.900000,-0.600000,537413,0.172305
-0.600000,-0.300000,825421,0.264646
-0.300000,0.000000,7044572,2.258629
